Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Hour,DayOfWeek,Month
2004-03-10,18:00:00,0.4420045793040284,1.172360559090879,-0.7331073711636736,0.22519437119488186,0.38287990694537655,-0.36398180310830724,0.8716168888661288,0.02119096661047495,0.6709851501343201,0.5911930484156742,-0.5449894354086586,-0.01967942922527802,-0.6768586177466277,0.93913327336434,-0.5049150728705976,-0.9628793301639599
2004-03-10,19:00:00,-0.050034781655794454,0.861301497747957,-1.022467445741783,-0.10836518218406763,0.042701634457394735,-0.7428071012601545,1.3318421665274247,-0.46747953756256466,0.2836040358671119,-0.14635228901315583,-0.5796457950890718,-0.09037622889545381,-0.7584658706987523,1.0835832526336653,-0.5049150728705976,-0.9628793301639599
2004-03-10,20:00:00,0.11397833866414663,1.3644852734497426,-1.2052211770542731,-0.16173471072469958,-0.01710992993609657,-0.5744403020815557,1.199234883133492,0.04446099061871493,0.2719534760395267,0.10780184753326535,-0.7413754735976671,0.28078196937297023,-0.6960603243235983,1.2280332319029905,-0.5049150728705976,-0.9628793301639599
2004-03-10,21:00:00,0.11397833866414663,1.245550926465684,-1.26613908749177,-0.13504994645438373,0.01653407503524229,-0.3279032032843218,1.0120246006949987,0.2306211826846348,0.35642003478951945,0.4292320790478568,-0.845344552638907,0.6342659677238505,-0.6038416019473586,1.3724832111723158,-0.5049150728705976,-0.9628793301639599
2004-03-10,22:00:00,-0.37806102229567623,0.7698135385294504,-1.4869665128276954,-0.4952942641036491,-0.4021468757191969,-0.5744403020815557,1.4527488072689516,0.0910010386351949,0.082631878841267,0.19750330749082576,-0.8222403128519649,0.6107003678337919,-0.598535867235301,1.5169331904416408,-0.5049150728705976,-0.9628793301639599
2004-03-10,23:00:00,-0.7060872629355582,0.4267336914600512,-1.5859581172886277,-0.7354571425364926,-0.7236340343342127,-0.8269905008494539,1.9675770839748081,-0.37439944152960475,-0.19989419697767438,-0.20366155509715275,-0.8222403128519649,0.5871347679437332,-0.6086420285916009,1.661383169710966,-0.5049150728705976,-0.9628793301639599
2004-03-11,00:00:00,-0.7060872629355582,0.3718409159289473,-1.6392612889214373,-0.8822233460232305,-0.9479274008098051,-0.9893442000573884,2.4551038611583844,-0.8165298976861645,-0.37465259439145254,-0.7418703148425152,-0.8106881929584936,0.4457411686033808,-0.6705422668989401,-1.6609663534835137,-0.004969005479044074,-0.9628793301639599
2004-03-11,01:00:00,-0.8701003832554991,0.1476954158436064,-1.6392612889214373,-0.9222504924287044,-1.0152154107524827,-0.9893442000573884,2.420001933201167,-0.8397999216944044,-0.37465259439145254,-0.7493454365056453,-0.8800009123193203,0.6342659677238505,-0.645529517542097,-1.5165163742141885,-0.004969005479044074,-0.9628793301639599
2004-03-11,02:00:00,-0.9521069434154696,-0.044429298515257204,-1.692564460554247,-1.0556743137802842,-1.2507234455518548,-1.0915668995586805,2.9114289246022116,-1.2121203058262442,-0.5406730719345418,-1.0234332308204133,-0.8800009123193203,0.6165917678063066,-0.6591728353731022,-1.3720663949448633,-0.004969005479044074,-0.9628793301639599
2004-03-11,03:00:00,-1.198126623895381,-0.42867872723298445,-1.7306381545776823,-1.1357286065912322,-1.4301581387323288,-0.27979840351900787,3.4028559160032565,-0.07188912942248497,-0.6600913101672903,-1.3199463901245712,-0.9262093918932045,0.64604876766888,-0.6922705138149856,-1.2276164156755383,-0.004969005479044074,-0.9628793301639599
2004-03-11,04:00:00,-0.21404790197573534,-0.4241043292720591,-1.7687118486011177,-1.189098135131864,-1.5572577130684977,-1.2358812988546224,3.8435801225772095,-1.8171409300404837,-0.7707716285293498,-1.4594819945029986,-0.9493136316801468,0.6637229675864238,-0.7054085235781759,-1.083166436406213,-0.004969005479044074,-0.9628793301639599
2004-03-11,05:00:00,-1.1161200637354105,-0.17251244142116628,-1.8144002814292404,-1.21578289940218,-1.6133310546873958,-1.2659467987079436,4.23360154432407,-1.9567610740899235,-0.8144612278827943,-1.5167912605869955,-0.845344552638907,0.41039276876829317,-0.730421272935019,-0.9387164571368878,-0.004969005479044074,-0.9628793301639599
2004-03-11,06:00:00,-1.1161200637354105,-0.2365540128741208,-1.7534823709917435,-1.1490709887263901,-1.4600639209290744,-1.157710999235987,3.5315629851797206,-1.491360593925124,-0.7008682695638385,-1.3922058995348283,-0.9031051521062624,0.5223293682460718,-0.7337057753758168,-0.7942664778675625,-0.004969005479044074,-0.9628793301639599
2004-03-11,07:00:00,-0.7880938230955286,0.18429059953100901,-1.6544907665308115,-0.9355928745638623,-1.0339065246254489,-0.7728726011134757,2.5643098592475053,-0.7001797776449645,-0.35717675465007476,-0.7493454365056453,-0.9377615117866758,0.6107003678337919,-0.7175359172057363,-0.6498164985982373,-0.004969005479044074,-0.9628793301639599
2004-03-11,08:00:00,-0.050034781655794454,1.0488518141458953,-1.3879749083667632,-0.2951585320762794,-0.16290061814523163,-0.31587700334299335,1.1836340262636176,-0.0020790573977650315,0.16127315767746717,0.17756964972247902,-0.868448792425849,0.48108956843846895,-0.7198098035109038,-0.5053665193289121,-0.004969005479044074,-0.9628793301639599
2004-03-11,09:00:00,0.11397833866414663,1.131190977442551,-1.2128359158589601,-0.09502280004890969,0.06139274833036077,-0.5864665020228842,0.9613218158679068,-0.2580493214884048,0.35350739483262317,-0.006816684634728511,-0.9031051521062624,0.6696143675589386,-0.6483087119150795,-0.3609165400595869,-0.004969005479044074,-0.9628793301639599
2004-03-11,10:00:00,-0.2960544621357059,0.5914120180533629,-1.2889833039058312,-0.521979028373965,-0.43579088069053573,-0.6886892015241763,1.5034515920960436,-0.32785939351312476,-0.04552427926217033,-0.42542349777001043,-0.868448792425849,0.5400035681636156,-0.683427622628223,-0.21646656079026166,-0.004969005479044074,-0.9628793301639599
2004-03-11,11:00:00,-0.4600675824556468,0.34439452816339533,-1.5478844232651923,-0.6954299961310187,-0.6787753610390942,-0.7909119010254685,1.9324751560175906,-0.46747953756256466,-0.2901860356414598,-0.8963561625472026,-0.9031051521062624,0.5105465683010423,-0.7339584294097243,-0.07201658152093647,-0.004969005479044074,-0.9628793301639599
2004-03-11,12:00:00,-0.37806102229567623,0.6051352119361388,-1.4108191247808246,-0.6687452318607028,-0.6339166877439757,-0.7367940012894902,1.827169372145938,-0.3976694655378447,-0.17659307732250396,-0.9137981130945061,-1.0186263510409732,1.0348811658548478,-0.5826186630991278,0.07243339774838875,-0.004969005479044074,-0.9628793301639599
2004-03-11,13:00:00,-0.132041341815765,0.8338551099824051,-1.3955896471714504,-0.3885552070223853,-0.27878552415762103,-0.4842438025215921,1.2850395959178014,-0.0020790573977650315,0.21952595681539325,-0.5774176382536544,-1.1572517897626264,1.6004555632162567,-0.47094558011200993,0.21688337701771396,-0.004969005479044074,-0.9628793301639599
2004-03-11,14:00:00,0.6880242597839397,1.2226789366610575,-0.6265010278980543,0.17182484265424988,0.33802123365025805,-0.11744470431107336,0.5869012509909202,0.37024132673407467,0.7816654684963796,0.015608680354661593,-1.1919081494430397,1.8773513619244455,-0.38428524648173523,0.36133335628703916,-0.004969005479044074,-0.9628793301639599
